Father,Mother,Gender,Height
78.5,67.0,M,73.2
78.5,67.0,F,69.2
78.5,67.0,F,69.0
78.5,67.0,F,69.0
75.5,66.5,M,73.5
75.5,66.5,M,72.5
75.5,66.5,F,65.5
75.5,66.5,F,65.5
75.0,64.0,M,71.0
75.0,64.0,F,68.0
75.0,64.0,M,70.5
75.0,64.0,M,68.5
75.0,64.0,F,67.0
75.0,64.0,F,64.5
75.0,64.0,F,63.0
75.0,58.5,M,72.0
75.0,58.5,M,69.0
75.0,58.5,M,68.0
75.0,58.5,F,66.5
75.0,58.5,F,62.5
75.0,58.5,F,62.5
74.0,68.0,F,69.5
74.0,68.0,M,76.5
74.0,68.0,M,74.0
74.0,68.0,M,73.0
74.0,68.0,M,73.0
74.0,68.0,F,70.5
74.0,68.0,F,64.0
74.0,66.5,F,70.5
74.0,66.5,F,68.0
74.0,66.5,F,66.0
74.5,66.0,F,66.0
74.0,65.5,F,65.5
74.0,62.0,M,74.0
74.0,62.0,M,70.0
74.0,62.0,F,68.0
74.0,62.0,F,67.0
74.0,62.0,F,67.0
74.0,62.0,F,66.0
74.0,62.0,F,63.5
74.0,62.0,F,63.0
74.0,61.0,F,65.0
73.0,67.0,M,68.0
73.0,67.0,M,67.0
73.0,66.5,M,71.0
73.0,66.5,M,70.5
73.0,66.5,F,66.7
73.0,65.0,M,72.0
73.0,65.0,M,70.5
73.0,65.0,M,70.2
73.0,65.0,M,70.2
73.0,65.0,M,69.2
73.0,65.0,F,68.7
73.0,65.0,F,66.5
73.0,65.0,F,64.5
73.0,65.0,F,63.5
73.0,64.5,M,74.0
73.0,64.5,M,73.0
73.0,64.5,M,71.5
73.0,64.5,M,62.5
73.0,64.5,F,66.5
73.0,64.5,F,62.3
73.0,64.0,F,66.0
73.0,64.0,F,64.5
73.0,64.0,F,64.0
73.2,63.0,F,62.7
72.7,69.0,M,73.2
72.7,69.0,M,73.0
72.7,69.0,M,72.7
72.7,69.0,F,70.0
72.7,69.0,F,69.0
72.7,69.0,F,68.5
72.7,69.0,F,68.0
72.7,69.0,F,66.0
72.0,68.0,M,73.0
72.0,68.0,F,68.5
72.0,68.0,F,68.0
72.0,67.0,M,73.0
72.0,67.0,M,71.0
72.0,67.0,F,67.0
72.0,65.0,M,74.2
72.0,65.0,M,70.5
72.0,65.0,M,69.5
72.0,65.0,F,66.0
72.0,65.0,F,65.5
72.0,65.0,F,65.0
72.0,65.0,F,65.0
72.0,65.5,F,65.5
